,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_2457: Average family size of couple economic families with children,v_CA16_2459: Median total income of lone-parent economic families in 2015 ($),v_CA16_2461: Average family size of lone-parent economic families,v_CA16_2465: Median total income in 2015 for persons aged 15 years and over not in economic families ($),v_CA16_2510: Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,"v_CA16_2525: In low income based on the Low-income measure, after tax (LIM-AT)","v_CA16_2540: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA16_2555: In low income based on the Low-income cut-offs, after tax (LICO-AT)","v_CA16_2570: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)"
167,15,5350138.0,CT,Toronto,0.96546,3103,1250,1181,4.1,100352,2.6,42752,3105,285,9.2,265,8.5
168,30,5350139.01,CT,Toronto,0.7736,4167,1904,1824,4,86784,2.6,51182,4170,405,9.7,365,8.8
169,20,5350139.02,CT,Toronto,0.50952,2542,961,920,4,105728,2.7,49152,2540,155,6.1,165,6.5
170,25,5350140.0,CT,Toronto,0.57204,2408,826,791,4,111872,2.6,38016,2410,105,4.4,110,4.6
171,30,5350141.01,CT,Toronto,0.5504100000000001,4320,1685,1620,3.9,91904,2.5,49280,4320,270,6.3,245,5.7
172,35,5350141.02,CT,Toronto,0.6875899999999999,4477,1624,1561,3.9,112640,2.6,45312,4475,235,5.3,205,4.6
173,20,5350142.0,CT,Toronto,1.0439200000000002,5810,2313,2237,3.9,82688,2.5,44128,5760,475,8.2,440,7.6
174,65,5350150.0,CT,Toronto,1.10899,4201,1640,1586,3.9,78080,2.4,39552,4195,285,6.8,290,6.9
175,60,5350151.0,CT,Toronto,0.65559,3784,1577,1535,3.9,35104,2.9,20928,3785,1190,31.4,915,24.2
176,135,5350152.0,CT,Toronto,0.8546299999999999,4545,1846,1764,3.8,78763,2.6,40000,4545,335,7.4,265,5.8
177,55,5350153.0,CT,Toronto,0.92761,4462,1783,1685,4,57216,2.8,25632,4460,690,15.5,600,13.5
178,10,5350154.0,CT,Toronto,2.15888,6157,2899,2818,3.9,58368,2.6,39056,6150,965,15.7,780,12.7
179,0,5350155.0,CT,Toronto,0.81296,3128,1316,1206,4.2,36565,3.2,16427,3125,915,29.3,825,26.4
180,20,5350156.01,CT,Toronto,0.60545,5688,2365,2273,4.2,39552,2.9,18534,5685,2010,35.4,1540,27.1
181,0,5350156.02,CT,Toronto,0.59201,2811,1124,1073,4.1,50219,2.8,25813,2815,480,17.1,360,12.8
182,15,5350157.0,CT,Toronto,0.48528000000000004,2635,1107,1016,3.9,42880,2.8,26496,2635,635,24.1,555,21.1
183,15,5350158.0,CT,Toronto,0.63989,2848,1346,1250,4.1,47168,2.8,20272,2830,745,26.3,610,21.6
