,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_504: Total - Private households by household type - 100% data,v_CA16_2201: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2246: Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2297: Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2348: Without employment income,v_CA16_2351: With employment income,v_CA16_2396: Total - Income statistics in 2015 for private households by household size - 100% data,v_CA16_2400: Median total income of one-person households in 2015 ($),v_CA16_2401: Median after-tax income of one-person households in 2015 ($),v_CA16_2403: Median total income of two-or-more-person households in 2015 ($),v_CA16_2404: Median after-tax income of two-or-more-person households in 2015 ($)
158,35,5350130.0,CT,Toronto,1.27901,3543,1365,1279,1280,2905,2910,2905,775,2135,1280,55637,48000,259584,198912
159,85,5350131.0,CT,Toronto,1.04439,5310,2505,2360,2360,4555,4560,4560,1130,3430,2360,51968,44885,185754,148070
160,45,5350132.0,CT,Toronto,0.92464,5467,2155,2038,2035,4425,4425,4425,1010,3415,2040,44544,38827,132779,111689
161,50,5350133.0,CT,Toronto,0.66745,7339,3629,3408,3405,6190,6185,6190,1645,4540,3405,37504,33760,86016,75410
162,45,5350134.0,CT,Toronto,0.41703999999999997,2959,1076,1033,1035,2215,2215,2215,460,1750,1035,56448,47744,192341,152661
163,70,5350135.0,CT,Toronto,0.71622,6047,3316,3054,3055,5155,5155,5155,1215,3940,3050,45867,40016,116992,97344
164,50,5350136.01,CT,Toronto,0.19196,6128,4023,3779,3780,5695,5695,5695,1270,4425,3780,44434,38656,71936,63264
165,35,5350136.02,CT,Toronto,0.21013,4983,3459,3198,3200,4675,4675,4675,1250,3425,3200,41941,36992,80435,69981
166,90,5350137.0,CT,Toronto,0.9142100000000001,7077,3644,3509,3510,6080,6080,6080,1570,4510,3510,43680,38298,120474,101419
167,15,5350138.0,CT,Toronto,0.96546,3103,1250,1181,1180,2590,2590,2590,780,1815,1180,46592,40704,275200,194389
