,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_488: Total lone-parent families by sex of parent,v_CA16_491: Total - Couple census families in private households - 100% data,v_CA16_497: Total - Lone-parent census families in private households - 100% data,v_CA16_502: Total - Persons not in census families in private households - 100% data,v_CA16_501: Total - Persons not in census families in private households - 100% data,v_CA16_503: Total - Persons not in census families in private households - 100% data,v_CA16_505: One-census-family households,v_CA16_508: Multiple-census-family households,v_CA16_509: Non-census-family households
164,50,5350136.01,CT,Toronto,0.19196,6128,4023,3779,275,1115,275,1160,2760,1600,1370,10,2400
165,35,5350136.02,CT,Toronto,0.21013,4983,3459,3198,205,895,205,955,2355,1400,1085,5,2105
166,90,5350137.0,CT,Toronto,0.9142100000000001,7077,3644,3509,245,1560,245,775,2015,1240,1760,20,1725
167,15,5350138.0,CT,Toronto,0.96546,3103,1250,1181,95,750,95,140,405,265,840,0,340
168,30,5350139.01,CT,Toronto,0.7736,4167,1904,1824,145,970,145,305,795,495,1095,10,720
169,20,5350139.02,CT,Toronto,0.50952,2542,961,920,90,600,85,115,295,185,685,0,235
170,25,5350140.0,CT,Toronto,0.57204,2408,826,791,60,625,60,45,170,125,680,0,110
171,30,5350141.01,CT,Toronto,0.5504100000000001,4320,1685,1620,155,1070,155,190,530,340,1195,20,410
172,35,5350141.02,CT,Toronto,0.6875899999999999,4477,1624,1561,155,1110,150,150,370,225,1255,5,300
173,20,5350142.0,CT,Toronto,1.0439200000000002,5810,2313,2237,185,1375,185,290,805,520,1540,10,685
174,65,5350150.0,CT,Toronto,1.10899,4201,1640,1586,130,1060,130,235,555,320,1160,15,415
175,60,5350151.0,CT,Toronto,0.65559,3784,1577,1535,385,670,380,250,645,395,1010,20,505
176,135,5350152.0,CT,Toronto,0.8546299999999999,4545,1846,1764,215,1120,220,255,620,360,1280,30,455
177,55,5350153.0,CT,Toronto,0.92761,4462,1783,1685,300,965,305,370,790,415,1105,75,500
178,10,5350154.0,CT,Toronto,2.15888,6157,2899,2818,435,1250,435,630,1550,915,1540,75,1205
179,0,5350155.0,CT,Toronto,0.81296,3128,1316,1206,255,540,260,335,595,260,705,45,455
180,20,5350156.01,CT,Toronto,0.60545,5688,2365,2273,555,945,550,585,1155,575,1340,80,860
181,0,5350156.02,CT,Toronto,0.59201,2811,1124,1073,190,575,190,280,525,245,680,45,350
182,15,5350157.0,CT,Toronto,0.48528000000000004,2635,1107,1016,230,505,230,235,460,225,680,25,310
183,15,5350158.0,CT,Toronto,0.63989,2848,1346,1250,195,515,195,345,790,445,630,40,580
184,10,5350159.01,CT,Toronto,0.49246999999999996,3487,1386,1223,220,775,220,260,540,280,835,80,310
185,25,5350159.02,CT,Toronto,0.5753199999999999,4723,1843,1709,300,1050,300,370,735,370,1150,90,465
186,15,5350160.0,CT,Toronto,0.73445,3116,1246,1143,165,720,160,230,485,245,795,40,310
187,55,5350161.0,CT,Toronto,0.81126,6839,2689,2537,445,1500,445,600,1210,605,1705,115,715
188,50,5350162.0,CT,Toronto,0.57575,5119,2059,1952,355,1010,355,490,1015,525,1220,70,660
189,125,5350163.0,CT,Toronto,0.45421999999999996,4358,1882,1762,250,920,250,490,990,500,1100,35,625
190,195,5350164.0,CT,Toronto,0.6282300000000001,6258,2629,2515,420,1335,420,580,1270,695,1615,70,835
191,135,5350165.0,CT,Toronto,0.48493,4370,2031,1943,205,920,210,470,1100,630,1090,20,830
